side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
2,1,1e-05,0.01,12,2775,0.21573832666666667,0.01797819388888889,156796
2,1,2.1544346900318823e-05,0.01,14,2534,0.229843845,0.0164174175,144316
2,1,4.641588833612782e-05,0.01,18,2292,0.26730297000000003,0.014850165,139708
2,1,0.0001,0.01,25,2052,0.332396625,0.013295865,139708
2,1,0.00021544346900318823,0.01,38,1824,0.38258245888888887,0.010067959444444444,120554
2,1,0.00046415888336127773,0.01,69,1606,0.6117054125,0.008865295833333333,109466
2,1,0.001,0.01,234,1001,1.293210165,0.005526539166666667,104214
2,1,0.002154434690031882,0.01,1111,465,2.8540074719444446,0.002568863611111111,103636
2,1,0.004641588833612777,0.01,5356,216,6.394415328888889,0.001193878888888889,93264
2,1,0.01,0.01,26093,101,14.594880364166666,0.0005593408333333333,89230
2,2,1e-05,0.01,12,2775,0.10786916333333334,0.008989096944444445,244796
2,2,2.1544346900318823e-05,0.01,14,2534,0.11492192444444443,0.008208708888888888,232316
2,2,4.641588833612782e-05,0.01,18,2292,0.13365148500000001,0.0074250825,223100
2,2,0.0001,0.01,25,2052,0.1661983125,0.0066479325,223100
2,2,0.00021544346900318823,0.01,38,1824,0.19129122944444443,0.005033979722222222,185514
2,2,0.00046415888336127773,0.01,69,1606,0.30585271583333334,0.004432648055555556,174426
2,2,0.001,0.01,234,1001,0.646605115,0.002763269722222222,165078
2,2,0.002154434690031882,0.01,1111,465,1.4270038902777777,0.0012844319444444445,155028
2,2,0.004641588833612777,0.01,5356,216,3.1972076644444445,0.0005969394444444445,146960
2,2,0.01,0.01,26093,101,7.297443806111111,0.00027967055555555554,146510
5,1,1e-05,0.01,23,12721,5.358866369999999,0.23299419,253048
5,1,2.1544346900318823e-05,0.01,33,11366,6.869853045,0.208177365,225592
5,1,4.641588833612782e-05,0.01,51,10084,9.419574285,0.184697535,225592
5,1,0.0001,0.01,101,8818,16.312585245,0.161510745,220984
5,1,0.00021544346900318823,0.01,411,4642,34.94593419833333,0.08502660388888889,199910
5,1,0.00046415888336127773,0.01,1929,2155,76.148094825,0.039475425,193858
5,1,0.001,0.01,9108,1001,142.28048538,0.015621485,173260
5,1,0.002154434690031882,0.01,43383,465,314.8878773225,0.007258324166666667,151082
5,1,0.004641588833612777,0.01,209205,216,705.4829606,0.003372208888888889,145830
5,1,0.01,0.01,1019256,101,1608.2962168466668,0.0015779119444444445,141668
5,2,1e-05,0.01,23,12721,2.6794331849999997,0.116497095,323832
5,2,2.1544346900318823e-05,0.01,33,11366,3.4349265225,0.1040886825,313592
5,2,4.641588833612782e-05,0.01,51,10084,4.7097871425,0.0923487675,313592
5,2,0.0001,0.01,101,8818,8.1562926225,0.0807553725,288632
5,2,0.00021544346900318823,0.01,411,4642,17.472967099166667,0.04251330194444444,278694
5,2,0.00046415888336127773,0.01,1929,2155,38.0740474125,0.0197377125,277250
5,2,0.001,0.01,9108,1001,71.14024269,0.0078107425,238220
5,2,0.002154434690031882,0.01,43383,465,157.44394468666667,0.0036291622222222224,207850
5,2,0.004641588833612777,0.01,209205,216,352.7414803,0.0016861044444444445,206694
5,2,0.01,0.01,1019256,101,804.1482499866667,0.0007889561111111111,187428
10,1,1e-05,0.01,50,39333,69.28069087499999,1.3856138175,584370
10,1,2.1544346900318823e-05,0.01,90,34720,110.0798424,1.22310936,508914
10,1,4.641588833612782e-05,0.01,300,21545,227.69607716666667,0.7589869238888889,502736
10,1,0.0001,0.01,1402,10001,493.95166210499997,0.3523193025,431980
10,1,0.00021544346900318823,0.01,6564,4642,1073.4399912266667,0.1635344288888889,431098
10,1,0.00046415888336127773,0.01,30849,2155,2342.1135362625,0.0759218625,424726
10,1,0.001,0.01,145723,1001,4377.932247098056,0.03004283638888889,413376
10,1,0.002154434690031882,0.01,694126,465,9688.300665053333,0.013957553333333334,341486
10,1,0.004641588833612777,0.01,3347278,216,21704.115033382222,0.006484108888888889,335946
10,1,0.01,0.01,16308089,101,49462.65137818667,0.0030330133333333334,280504
10,2,1e-05,0.01,50,39333,34.64034544444444,0.6928069088888889,602034
10,2,2.1544346900318823e-05,0.01,90,34720,55.0399212,0.61155468,602034
